Identifier,Action,Action Description,Additional Text,CIC Rep,To,Image URL,Time,profile_url
100series,added,"4,200",Meme Maxi,Rep,lapislight,,59 minutes ago,https://seize.io/100series
ricodemus,added,1,"WWOH Startled, they turned to the hooded figure, shouted LFG! and",Rep,MoMO,,1 hour ago,https://seize.io/ricodemus
lapislight,added,"6,529",,CIC,100series,,1 hour ago,https://seize.io/lapislight
lapislight,added,"6,529",Meme Maxi,Rep,100series,,1 hour ago,https://seize.io/lapislight
lapislight,added,"6,529",,CIC,Giopetto,,1 hour ago,https://seize.io/lapislight
lapislight,added,"6,529",Meme Maxi,Rep,Giopetto,,1 hour ago,https://seize.io/lapislight
lapislight,added,"6,529",,CIC,jonnypickles,,1 hour ago,https://seize.io/lapislight
lapislight,added,"6,529",Meme Maxi,Rep,jonnypickles,,1 hour ago,https://seize.io/lapislight
lapislight,added,"6,529",,CIC,golden618,,1 hour ago,https://seize.io/lapislight
lapislight,added,"6,529",6529,Rep,golden618,,1 hour ago,https://seize.io/lapislight
AnimatedNFT,added,1,Such is life,Rep,mememaxis,,2 hours ago,https://seize.io/AnimatedNFT
696,added,"100,000",Pebble Racing Pathway to Disorder,Rep,AnimatedNFT,,3 hours ago,https://seize.io/696
696,reduced,"156,960",Pebble Racing Pathway to Disorder,Rep,AnimatedNFT,,3 hours ago,https://seize.io/696
justanother,added,"10,000",Pebble Racing Shadow of Satoshi,Rep,OMdegen,,3 hours ago,https://seize.io/justanother
Giopetto,added,"69,000",Pebble Racing Pathway to Disorder,Rep,AnimatedNFT,,3 hours ago,https://seize.io/Giopetto
golden618,added,"4,200",mfer,Rep,mleejr,,3 hours ago,https://seize.io/golden618
jonnypickles,added,"69,420",Pebble Racing Pathway to Disorder,Rep,AnimatedNFT,,3 hours ago,https://seize.io/jonnypickles
dubhz0,added,125,,CIC,Scrnrz_,,3 hours ago,https://seize.io/dubhz0
Andi_P,reduced,"2,042",Memes OG,Rep,OMdegen,,3 hours ago,https://seize.io/Andi_P
Michael_DBV,changed,About,,,,,3 hours ago,https://seize.io/Michael_DBV
Articulate,added,1,"WWOH Opaque blue glasses stared at them from beneath a dark hood, and a voice rumbled 'You, again'",Rep,MoMO,,3 hours ago,https://seize.io/Articulate
Andi_P,added,"10,000",Pebble Racing Shadow of Satoshi,Rep,OMdegen,,4 hours ago,https://seize.io/Andi_P
RegularDad,added,"99,000",Pebble Racing Pathway to Disorder,Rep,AnimatedNFT,,4 hours ago,https://seize.io/RegularDad
RegularDad,reduced,"199,580",Freedom to Complain,Rep,boredsurgeon,,4 hours ago,https://seize.io/RegularDad
mememaxis,added,"1,069",Diamond Hand Memer,Rep,GK1,,4 hours ago,https://seize.io/mememaxis
100series,added,420,meme maxi,Rep,matAgain,,4 hours ago,https://seize.io/100series
100series,added,420,WWOH Contributor,Rep,matAgain,,4 hours ago,https://seize.io/100series
100series,added,1,"WWOH Libations in hand they toasted to OMboarding, which piqued the interest of a fellow patron",Rep,MoMO,,4 hours ago,https://seize.io/100series
chrisroc,reduced,21,comfy,Rep,comfydevil,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,36,Meme Maxi,Rep,BBA,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,2,The Line 776 Artist,Rep,MackPhotoNZ,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,9,Meme Maxi,Rep,Dyker,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,17,Meme Maxi,Rep,Newlightvisuals,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,43,Meme Maxi,Rep,MintFace,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,1,Pebble Racing Shadow of Satoshi,Rep,OMdegen,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,21,Meme Maxi,Rep,exlawyer,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,9,Artist,Rep,Papillon,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,43,Pebble Conneusseur,Rep,Thor,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,43,Meme Maxi,Rep,Ruskin,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,43,Meme Maxi,Rep,parachica,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,9,Meme Artist,Rep,simonemonte,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,43,Meme Maxi,Rep,blocknoob,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,21,BTC smoothies in Koh Samui,Rep,Hvala,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,10,Pebble Racing Night Journeys,Rep,4lteredBeast,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,43,Meme Maxi,Rep,hashgrown,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,9,Meme Maxi,Rep,kkostya,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,9,Meme Artist,Rep,Minotaur_Man,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,4,Art creator lover,Rep,VivianeG,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,8,Pebble Racing Blue Epoch (should have sent summer),Rep,blocknoob,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,9,MemeMaxi,Rep,Fitzcarraldo777,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,6,Pebble Racing,Rep,OMPub,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,9,xcopy,Rep,Killian,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,43,Meme Maxi,Rep,NFTLaurent,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,9,Memes Collector,Rep,vanto,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,17,Doomed,Rep,Killian,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,43,ReMemer,Rep,TheMeans,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,21,NextGen Artist,Rep,Zeblocks,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,36,Kind and open heart,Rep,Maria,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,17,Meme Artist,Rep,TyLekki,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,36,Doomed,Rep,BBA,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,17,Meme Artist,Rep,Killian,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,1,Leaders Eat Last,Rep,MintFace,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,17,Meme Maxi,Rep,apocalypse,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,36,Memes OG,Rep,OMdegen,,4 hours ago,https://seize.io/chrisroc
chrisroc,reduced,21,xcopy,Rep,CryptoTaxGuy,,4 hours ago,https://seize.io/chrisroc
